"","x"
"482",0
"483",0
"484",0
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",1
"503",1
"504",1
"505",1
"506",1
"507",0
"508",0
"509",1
"510",1
"511",1
"512",1
"513",0
"514",0
"515",1
"516",0
"517",0
"518",0
"519",1
"520",1
"521",0
"522",1
"523",1
"524",0
"525",0
"526",0
"527",1
"528",1
"529",1
"530",1
"531",1
"532",0
"533",1
"534",0
"535",1
"536",0
"537",1
"538",1
"539",1
"540",0
"541",1
"542",1
"543",1
"544",1
"545",1
"546",1
"547",1
"548",1
"549",1
"550",0
"551",1
"552",1
"553",1
"554",1
"555",1
"556",0
"557",1
"558",1
"559",1
"560",1
"561",0
"562",1
"563",1
"564",0
"565",0
"566",1
"567",1
"568",0
"569",1
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",1
"577",1
"578",1
"579",1
"580",1
"581",0
"582",1
"583",1
"584",1
"585",1
"586",1
"587",1
"588",1
"589",1
"590",1
"591",0
"592",0
"593",0
"594",1
"595",1
"596",1
"597",1
"598",0
"599",1
"600",0
"601",0
"602",0
"603",1
"604",1
"605",0
"606",1
"607",1
"608",1
"609",1
"610",0
"611",0
"612",1
"613",1
"614",1
"615",0
"616",0
"617",1
"618",0
"619",1
"620",1
"621",1
"622",1
"623",1
"624",1
"625",0
"626",0
"627",1
"628",1
"629",0
"630",1
"631",0
"632",1
"633",1
"634",0
"635",1
"636",1
"637",1
"638",1
"639",1
"640",0
"641",1
"642",1
"643",1
"644",1
"645",1
"646",1
"647",0
"648",1
"649",1
"650",0
"651",0
"652",0
"653",1
"654",1
"655",1
"656",1
"657",1
"658",1
"659",1
"660",0
"661",1
"662",1
"663",0
"664",1
"665",1
"666",1
"667",1
"668",0
"669",1
"670",1
"671",0
"672",1
"673",1
"674",1
"675",0
"676",1
"677",1
"678",0
"679",1
"680",1
"681",1
"682",0
"683",1
"684",1
"685",0
"686",0
"687",1
"688",0
"689",1
"690",1
"691",1
"692",1
"693",0
"694",0
"695",1
"696",1
"697",1
"698",0
"699",1
"700",1
"701",0
"702",1
"703",0
"704",1
"705",1
"706",1
"707",1
"708",1
"709",1
"710",0
"711",1
"712",0
"713",1
"714",0
"715",0
"716",1
"717",1
"718",1
"719",1
"720",1
"721",1
"722",0
"723",1
"724",1
"725",1
"726",0
"727",1
"728",1
"729",1
"730",1
"731",1
"732",1
"733",1
"734",1
"735",1
"736",0
"737",0
"738",0
"739",0
"740",1
"741",0
"742",1
"743",1
"744",1
"745",1
"746",1
"747",0
"748",1
"749",1
"750",1
"751",0
"752",1
"753",0
"754",1
"755",1
"756",1
"757",1
"758",0
"759",0
"760",0
"761",0
"762",1
"763",1
"764",1
"765",1
"766",1
"767",1
"768",1
"769",1
"770",1
"771",1
"772",1
"773",0
"774",1
"775",1
"776",1
"777",1
"778",1
"779",1
"780",0
"781",1
"782",1
"783",1
"784",1
"785",1
"786",1
"787",1
"788",1
"789",1
"790",1
"791",0
"792",0
"793",1
"794",0
"795",1
"796",0
"797",0
"798",1
"799",1
"800",0
"801",1
"802",1
"803",1
"804",1
"805",1
"806",1
"807",1
"808",1
"809",0
"810",1
"811",1
"812",1
"813",1
"814",0
"815",1
"816",1
"817",1
"818",0
"819",1
"820",0
"821",1
"822",1
"823",1
"824",1
"825",1
"826",1
"827",1
"828",1
"829",1
"830",0
"831",1
"832",0
"833",1
"834",1
"835",1
"836",1
"837",1
"838",1
"839",1
"840",1
"841",1
"842",1
"843",1
"844",0
"845",1
"846",1
"847",1
"848",1
"849",0
"850",1
"851",1
"852",1
"853",0
"854",0
"855",1
"856",1
"857",1
"858",1
"859",0
"860",1
"861",0
"862",1
"863",1
"864",1
"865",0
"866",0
"867",1
"868",1
"869",1
"870",1
"871",1
"872",0
"873",1
"874",1
"875",1
"876",0
"877",1
"878",1
"879",1
"880",1
"881",1
"882",1
"883",1
"884",1
"885",1
"886",1
"887",1
"888",1
"889",0
"890",0
"891",1
"892",1
"893",1
"894",1
"895",1
"896",1
"897",1
"898",1
"899",1
"900",0
"901",0
"902",0
"903",1
"904",0
"905",1
"906",1
"907",1
"908",1
"909",1
"910",0
"911",0
"912",1
"913",0
"914",1
"915",1
"916",1
"917",0
"918",1
"919",1
"920",0
"921",1
"922",0
"923",0
"924",1
"925",1
"926",1
"927",1
"928",1
"929",0
"930",1
"931",0
"932",1
"933",0
"934",1
"935",1
"936",1
"937",0
"938",1
"939",1
"940",1
"941",1
"942",1
"943",1
"944",1
"945",1
"946",1
"947",0
"948",1
"949",1
"950",0
"951",0
"952",1
"953",0
"954",1
"955",1
"956",1
"957",0
"958",1
"959",0
"960",1
"961",0
"962",1
"963",1
"964",1
"965",1
"966",1
"967",1
"968",1
"969",1
"970",0
"971",0
"972",0
"973",1
"974",1
"975",1
"976",0
"977",1
"978",0
"979",1
"980",0
"981",0
"982",0
"983",1
"984",0
"985",1
"986",1
"987",1
"988",1
"989",1
"990",0
"991",1
"992",0
"993",1
"994",1
"995",0
"996",1
"997",1
"998",1
"999",1
"1000",1
